name,b_month,b_day,b_year,blue_meter,fave_num,funnier,wins,losses,bio
Chris Tucker,August,31,1972,Risqué,2,55.4,1054,847,"Born August 31, 1971, is an American actor and comedian. He is best known for playing the role of Detective James Carter in the Rush Hour film series. Tucker became a frequent stand up performer on Def Comedy Jam in the 1990s. He came to prominence in 1995 film Friday alongside Ice Cube, and then appeared in Luc Besson’s The Fifth Element before beginning work on the highly commercially successful Rush Hour films. In 2006 he negotiated an unprecedented $25 million salary to appear in Rush Hour 3, which at the time made him the highest paid actor in Hollywood. Tucker is also a humanitarian and spends much of his spare time traveling and working with his foundation. He has recently completed a film project entitled “Silver Lining Playbook” with Robert DeNiro and Bradley Cooper due out later this year."
Christina Pazsitzky,June,18,1976,Tame,0,47,197,222,"Christina is a Stand up Comedian. You can hear her narrating the upcoming documentary “Can We Take a Joke?” coming out July 29th.You can also hear her on her hugely successful podcast Your Mom’s House with her husband Tom Segura. Your Mom’s House is a top rated comedy podcast on iTunes and was nominated for the Stitcher Radio Comedy Award in 2013. If you like 7th grade humor, you’ll love Your Mom’s House. Check out Christina’s other podcast,  That’s Deep, Bro where she gets super deep on stuff.Christina’s TV credits include: TruTV’s How to Be a Grown Up, she was a Round Table Regular and Writer on the popular E! show Chelsea Lately and TBS Funniest Wins with Marlon Wayans. Pazsitzky is best known for providing her unique and funny pop culture commentary on several Vh1 countdown shows,TV Guide Channel, SyFy Channel’s Insane or Inspired, Tru TV’s World’s Dumbest and E! Television’s Wildest TV Moments. With a background in animation, Christina has written on and lent her voice to several animated projects, like the feature film TV: The Movie with the guys from MTV’s Jackass and the television series, Trolls. She was given Animation Magazine’s “Up and Coming Writer” Award.You can see Christina’s stand up on the Showtime special Red Light Comedy filmed in Amsterdam, TV Guide Channel’s Stand Up in Stilettos and Nuvo TV’s Stand Up and Deliver. She’s also performed at the Just For Laughs Comedy Festival, Sketchfest, the Aspen Comedy Festival, Moontower Comedy Festival, South African Comedy Festival, Lucy Fest and Gilda’s Fest. Christina headlines comedy clubs in the U.S., Canada and has performed for the troops in Afghanistan, South Korea, UAE and Africa.Before becoming a Comedian, Pazsitzky studied Philosophy at Oxford University, dropped out of Law School after two WHOLE weeks and was Goth for more years than she’d care to admit. She and her husband Tom have a 7-month old son named Ellis who is adorable and loves to pull her hair. The best day of her life (after the birth of her son) was the day she met Kim Deal of the Pixies."
Colin Quinn,June,6,1959,Risqué,22,62.3,2447,1481,"A born New Yorker, Colin Quinn grew up in the Park Slope neighborhood of Brooklyn. Before stand-up Quinn worked as a bartender.Quinn started performing stand-up in 1985, right after his first year of college. A friend of his coaxed him into starting performing together. He claims his first performance was in jail, after cops picked up for buying drugs prior to his intended first performance at the Improv. He told the cops that he was a comic and ended up performing for them, to silence, in his jail cell.In 1987 he became a co-host of “Remote Control”, a game show on MTV. Friends and fellow comics Adam Sandler and Denis Leary often made guest appearances on the show as various characters. He worked on the program for three years and continues his relationship with MTV with a sports comedy show entitled “Colin Quinn’s Manly World.”Early in the 90s, Quinn hosted the A&E stand-up show “Caroline’s Comedy Hour.” One of his writers for the show was Jon Stewart.Colin Quinn, as a good friend of Jerry Seinfeld, had a prominent presence in Seinfeld’s documentary on stand-up “Comedian.” On the DVD for “Comedian”, Quinn appears on the commentary track with Seinfeld.In 1995, Quinn became a writer and feature player on “Saturday Night Live.” In 1997, he was upgrade to a cast player and in 1998 he became the anchor for Weekend Update, the fake news segment. He succeeded fellow stand-up Norm MacDonald. Quinn left the show in 2000.Colin made his Broadway debut with a one-man show entitled “Colin Quinn: An Irish Wake” in 1998. The show portrays, often unflinchingly, the narrow failings of the working class Irish that he grew up with in his Brooklyn neighborhoodIn 2002, Quinn created a prime-time sketch comedy show for NBC, but the show only lasted for three episodes. Along with poor ratings, some say NBC nixed the show due to racial content that made some advertisers nervous.Quinn joined Comedy Central’s late night line-up in 2003 with his show “Tough Crowd with Colin Quinn.” The show appeared to be a round table discussion on he day’s issues, but was, at it’s heart, a bull session between stand-ups. Quinn modeled the show on late night conversations he would have with other comics at the Olive Tree, a restaurant above New York’s Comedy Cellar. Many of the comics who appeared on the show are close friends with Quinn. Regular guests included Patrice O’Neal, Nick Di Paolo, Rich Vos, Jim Norton. Many of these regulars ae close friends with Quinn, and took great joy in insulting him and each other. Tough Crowd ran for two years, airing it’s final episode Novermber 4, 2004 much to the dismay of those who grew to love Tough Crowd and its “cringe” style of comedy.Quinn, who was a frequently drinker in his youth, and has since given up alcohol after having many episodes where he blacked out and, occasionally, arrested.A trademark of Quinn’s performing style is his gravelly voice and his mumbling, mush-mouthed delivery.In 2010, Colin Quinn began performing his one-man show “Long Story Short” Off-Broadway. The show, directed by Quinn’s friend Jerry Seinfeld, satirically traces all of human history and the rise and fall of civilizations in 75 minutes. The show soon went to Broadway, appearing at the Helen Hayes theater. In April of 2011, the show became an HBO special.In Comedy Central’s countdown of greatest stand-ups of all time, Quinn made the list at number 56."
Craig Ferguson,May,17,1962,Tame,11,63.1,1799,1051,"Craig Ferguson entered the world of late night comedy following a diverse and eclectic career that encompasses film, television and the stage. Since taking the helm of “The Late Late Show with Craig Ferguson” on January 3, 2005, the show has set all-time viewer records and achieved the highest ratings since the shows inception in 1995.Born in Glasgow, Scotland, Ferguson got his start in the entertainment industry as a drummer for some of the worst punk bands in the U.K., a profession he held for several years. Following his musical stint, he began bartending in a local pub in Glasgow where he was introduced to Michael Boyd, the artistic director of The Tron Theatre in Glasgow, who persuaded Ferguson to give acting a go. After several low paying acting gigs, Ferguson discovered he had a knack for comedy and was soon the star of his own BBC television show, “The Ferguson Theory.” After several stints on the English comedy circuit, Ferguson brought his act to America in 1995 to star with Betty White and Marie Osmond in the short-lived ABC comedy “Maybe This Time.” After the show ended, ABC decided to add the talented Scotsman to “The Drew Carey Show,” playing Drew Carey’s boss, Nigel Wick, from 1996-2003.Ferguson wrote the feature films “The Big Tease” and “Saving Grace.” In 2003, he made his directorial debut with “I’ll Be There,” which he also wrote and starred in. “I’ll Be There” went on to receive the Audience Award for Best Film at the Aspen, Dallas, and Valencia film festivals. Craig was also named “best new director” at the Napa Valley Film Festival. Ferguson’s other film credits include “Niagara Motel,” “Lenny the Wonder Dog,” “Prendimi l’anima,” “Life Without Dick,” “Chain of Fools,” “Born Romantic” and “The Big Tease.” In April 2006, Ferguson debuted his first novel entitled “Between The Bridge and The River,” which became a critically acclaimed bestseller.Since coming into his own on the “The Late Late Show with Craig Ferguson” and winning his first Emmy nomination in 2006, Craig achieved a personal milestone in February 2008 when he was sworn in as a U.S. citizen. Soon after, Craig hosted the White House Correspondents Dinner, where critics raved of his witty and comical deliverance speech to the 3,000 attendees who included political journalists, celebrities, and Washington’s power players.In Fall of 2009 Harper Collins is set to publish Craig’s memoir, American On Purpose—a moving and achingly funny memoir of living the American dream as he journeys from a small town in Scotland to the entertainment capital of the world. “‘American on Purpose’ reads as if Ferguson had snorted Angela’s Ashes,” says David Hirshey, Senior Vice President and Executive Editor. “It will make you laugh, cry, and sing ‘The Star Spangled Banner’ with a Scottish burr.”Ferguson also serves on the board of the Lollipop Theater Network. The mission of the Lollipop Theater Network is to bring movies that are currently in theatrical release to hospitalized children facing chronic and life threatening illness nationwide."
Cristela Alonzo,January,6,1979,Tame,0,48.3,198,212,"Cristela Alonzo is the cocreator, coexecutive producer and star of the ABC sitcom, “Cristela,” an achievement which caps a whirlwind year. Cristela rose to fame in the world of standup and has since topped multiple comedy power player lists including “Variety’s Top 10 Comics to Watch,” “Top 10 Comedy Acts to Watch in 2014” by LA Weekly, Cosmo Latina’s “8 Women You Should be Following on Twitter,” Time Out’s “Comics to Watch,” Cosmo’s “13 Female Comedians to Watch For in 2014,” and “One of the 50 Comedians You Should and WILL Know” by Vulture.com.Cristela recently made a deal with Comedy Central to release her debut CD, “Some of the Hits,” this fall. “The Half Hour,” her first half hour special in Boston, premiered in June 2013 on Comedy Central to rave reviews. Cristela has also made appearances on “The View,” “The Late Show with David Letterman,” “Conan,” Gabriel Iglesias’ “Stand Up Revolution,” Showtime’s “Legally Brown,” “Last Comic Standing” and “Live at Gotham.” In addition, she performed at the Bonnaroo Music Festival and the Just for Laughs Festival in Montreal.One of the most popular standup comedians in the college market, she showcased at the NACA (National Association of Campus Activities) national convention in Charlotte, NC, and was the most requested act of the convention. In the past three years, she has performed for almost 300 colleges.Originally from San Juan, Texas—Cristela is based in Los Angeles, and when not on the road, can be found performing at various area clubs, including her home club The Comedy and Magic Club in Hermosa Beach."
DL Hughley,March,6,1963,Risqué,12,50.3,1938,1916,"Darryl Lynn (or “D.L.”) Hughley grew up in South Central Los Angeles and had a difficult upbringing, getting kicked out of high school and becoming a member of the Bloods gang. After his cousin was shot, Hughley turned his life around, got a GED and a job and, after prompting by his wife, LaDonna, tried his hand at stand-up comedy. He claims from the first time he picked up a mic, he knew he should be a comedian. His comedy was a huge success and in 1992 he was picked to be the first host of BET’s Comicview. He also appeared in the 3rd season of The Fresh Prince of Bel-Air as an old friend of Will Smith trying out for an audition as a comedian.By 1997, Hughley went on a nationwide stand-up comedy tour with Steve Harvey, Cedric the Entertainer, and Bernie Mac as the Kings of Comedy. The comedy act was later put into a film by Spike Lee called The Original Kings of Comedy.In 1998, Hughley was given his own TV sitcom, The Hughleys, on ABC. It received high ratings in its first season, thanks in part to a lead-in by the popular Home Improvement. However, by the following season, the show was moved to the low-rating TGIF segment on Friday nights and the ratings tanked. In 2000, ABC cancelled the show, but it was granted a reprieve by UPN, which ran it for an additional two seasons before cancelling it again.During this time Hughley began working on an acting career, providing the voice of the Gadgetmobile in the 1999 film Inspector Gadget and performing in Scary Movie 3. He also stuck with his stand-up comedy roots, becoming host of Comedy Central’s Premium Blend in 2003. In 2005, his late-night talk show Weekends at the D.L. premiered on Comedy Central. He once appeared as a guest on Comedy Central’s Daily Show.He is number 54 on Comedy Central’s list of the 100 Greatest Stand-ups of All Time.Hughley is one of the stars on Aaron Sorkin’s behind the scenes sketch comedy show Studio 60 on the Sunset Strip, as one of the show-within-a-show’s more popular cast members. In Episode 5, “The Wrap Party,” Hughley’s character Simon Stiles explains his life story, one that bears a strong resemblance to Hughley’s own.Hughley provided interview footage on the Richard Pryor tribute special, I Ain’t Dead Yet, #%$#@!!, alongside the aforementioned Bernie Mac and Cedric The Entertainer.Hughley made a recent appearance at Providence Performing Arts Center, where he performed a special show for Johnson and Wales Students, free of charge for the students. At the show’s ending, he brought a freshman majoring in Baking backstage and offered to give the student his books free of charge as a condolence to being used as target practice, which is common in Hughley’s comedy act.Hughley has been married to LaDonna since 1986. They share three children, daughters Ryan Nicole (born 1987, attends Smith College) and Tyler Whitney (born 1991), and son Kyle Aaris (born 1988)."
Dan Soder,June,24,1983,Tame,2,45.3,220,266,"Dan Soder began as a stand up as a 21-year-old University of Arizona student. He worked all across the Southwest, playing casinos and comedy clubs. Eventually, Soder moved East to pursue comedy full-time as a New York stand up. He quickly landed a spot performing on Comedy Central’s Live at Gotham series. A favorite on the festival circuit, Soder has performed at the Montreal Just for Laughs Festival and the 2012 SXSW Festival in Austin, Texas. Recently, Soder performed at the New York Comedy Festival – where he was voted Funniest Comedian of the Fest. In 2012, Guiness hired Soder to serve as their brand ambassador. Soder regularly appears on Robert Kelly’s popular You Know What Dude! podcast, a cornerstone of the Riotcast podcast network. Recently, he has also appeared as a guest on Sirius XM’s The Opie & Anthony Show, one of the most popular shows in radio. Currently, Soder is a regular panelist on Greg Gutfeld’s Red Eye on Fox News. Soder is based in New York City, where he performs regularly at Stand Up NY."
Dana Carvey,April,2,1955,Tame,29,64.9,2609,1412,"An impressionist/actor, Dana Carvey became one of the more versatile members on “Saturday Night Live” in the late 1980’s, perfecting both mimcry of personalities and his own characters. He seemed to specialize in know-it-alls. From real people like the loud Robin Leach and the lecturing George Bush to his own creations the loud bodybuilder Hans and the lecturing “Church Lady,” Dana carved out a gallery of self-important people.He admitted, “That’s what the real fun of playing these characters is. It’s making fun of those people who really feel they have the truth and the answers for everybody. Self-righteous, arrogant, “I’m superior to you” people drive me nuts.” Carvey even did an imitation of “Saturday Night Live” co-star Dennis Miller. Another favorite was Andy Rooney, spouting “Ya ever wonder why people’s faces are made of flesh? Why can’t people’s faces be made of Play-Doh? That way, if someone said something that annoyed you, you could just reach out, and, well, mess up their face a little…”Born in Missoula, Montana, Carvey grew up in San Carlos, California, and began performing stand-up in San Francisco in 1978. He found some acting work as well, taking small parts in films (a waiter in “This is Spinal Tap”) and the role of Mickey Rooney’s grandson in “One of the Boys.” A sitcom pilot, “Whacked Out” co-starring Desi Arnaz Jr. never made it to series even with Lucille Ball urging the audience to laugh. Carvey got married in 1983, and a few years later won recognition for playing the likable probation officer in “Tough Guys” with Kirk Douglas and Burt Lancaster.On “Saturday Night Live” Carvey was able to use his mild personality to underline his satire. Jay Leno enthused, “He’s got a real pie-in-the-face AM sense of humor and a sophisticated FM routine for people who appreciate their comedy when it’s more subtle.” His two most popular routines, as George Bush and as The Church Lady, were both broad and quietly satiric at the same time. Through the gags, Carvey’s gestures and expressions captured the characters’ underlying tensions. He gave Bush a lot of restless hand movements and the catch-phrase “it wouldn’t be prudent.” He explained that he arrived at Bush by performing “a cross between Mister Rogers and John Wayne’s cadence.”The Church Lady, with her tensely twisted half-smile and feverish sense of etiquette and propriety was based on someone Carvey and his Lutheran family met in church: “I remember when my family would be late to church, we’d be kind of embarrassed, and we’d have to say, ‘Hey, we had a barbecue, lighten up!’ And those church ladies would go, “Oh, I see, we come to church when it’s conveeeenient!”As the moderator of a TV talk show called “Church Chat,” The Church Lady (rarely called by her name, Enid Strict), interviewed guests with tongue-in-cheek sarcasm and cold friendliness. To one sexy actress, she huffed, “We like ourselves, don’t we? Yes, especially with our bosoms pressed together and offered for the explicit viewing of the chestal area. Who dressed you this morning, Sally? Could it be—Satan?” When Rob Lowe appeared as a guest, fresh from a scandal involving pornographic video tapes he made with an adoring fan, The Church Lady took him over her knee as the crowd laughed and applauded. “Get out of his buttocks, Satan!” she shouted.Her catch phrase was the artificially pleasant and drily mocking, “Isn’t that special?” It made Carvey the most “special” member of the new “Saturday Night Live” cast."
Daniel Tosh,May,29,1975,Risqué,95,59.3,2468,1694,"Daniel Tosh grew up in Titusville, Florida with his brother and two sisters. Tosh was born in Germany. His father was a preacher and his mother a nurse. Tosh began performing stand-up while attending the University of Central Florida after a late night talk with a friend. Tosh saw stand-up as a route past a nine to five gig that he had no interesting in living.His first time performing stand-up was actually at a music open mic, where he describes his act as having unintended accompaniment by rim shots from one of the band’s drummers. He began to frequent open mics in Orlando, particularly the comedy club Bonkers.Tosh graduated in 1996 with a degree in marketing (a selection he claims he made because he thought it would be “the easiest”). Daniel continued to devote himself to stand-up, eventually attracting interest from the former manager for comic Bill Hicks. The manager had not taken on a client since Hicks’ death. Tosh also soon generated enough interest for him to be invited in 1998 to the New Faces show at the Just For Laugh Comedy Festival in Montreal.At age 23 Tosh decided to best continue his comedy career he would need to either move to New York or Los Angeles. An avid surfer, Tosh chose LA. (Tosh continues to surf today at his home in Hermosa Beach.)His first introduction to a national TV audience was in 2001, as a guest on CBS’ Late Show with David Letterman. He’s since done all of the major late night talk shows including the Tonight Show, Late Night with Conan O’Brien, Jimmy Kimmel Live and the Late Late Show (Craig Kilorn version). Recently, Tosh has expressed interest in having his own talk show himself.2005 saw the release of Tosh’s first CD, called “True Stories That I Made Up.”In June of 2007, Daniel Tosh’s first hour special entitled “Daniel Tosh: Completely Serious” debuted on Comedy Central.Daniel Tosh regularly turns over material, perhaps even faster than necessary as a touring comic. By continually introducing new material into his act, Tosh believe it keep him freshm engaged and sane.He’s a regular performer at the Comedy & Magic Club in Hermosa Beach, where he often works out new material.Tosh, when not touring, resides in Los Angeles with his dogs, Castro and Eva, who are both Havanese."
Dave Attell,January,18,1965,Dirty,83,70.7,2915,1210,"Dave Attell was born in Queens and raised on Long Island, specifically Rockville Centre.In 1987, Dave Attell graduated from New York University with a degree in communications. Uncertain of what exactly he should do with the degree, he ended up gravitating towards stand-up. He supported himself by waiting tables, cleaning houses and temping.Attell’s first experience at stand-up was at Long Island’s Governor’s Comedy Cabaret, where like many first time comics he bombed. Many open mike nights were late at night, which Attell found to suit him well. Particularly the crowd, which responded to the twisted material that he naturally gravitated towards.Because of his unique style, which is sometimes relentless about perverse sex and eviscerating crowds that object to it, Attell became heavily admired in the comedy community. He was the comic that comics would want to see - a “comic’s comic.”Attell worked as a writer for SNL in the mid 90s, but didn’t let it get in the way of his stand-up. He would often sneak out to clubs to perform after his writing duties were done.Dave Attell was named one of the “25 Funniest People in America” by Entertainment Weekly Magazine.In 2001, Dave Attell used his after-hours life as a road comic to inspire his Comedy Central travel show “Insomniac with Dave Attell.” “Insomniac” always started with Attell performing stand-up in a local club in a city. These sets were presented more naturalistic, with the occasional rough patches kept in. Attell would sometimes even comment that after that set he needed a drink.In the rest of the episode, Attell would seek out the charms of the city he found himself in, be they alcohol, bizarre clubs, weird jobs or just people on the street. Attell liked to describe it as, “Wild On for Ugly People.” Insomniac ran for four seasons with Attell ending it because the show had gotten too successful and made getting real footage of Attell hanging out in bars impossible. But he did continue Insomniac in a new way, by taking it international with specials in Germany, Brazil and Japan.The travelogue was popular and drove audiences to see Attell perform live. After the fourth season of Insomniac, Dave Attell joined Lewis Black for the Comedy Central Live tour. The tour brought Attell to theaters, with larger crowds than comedy club and less distractions as well. Though Attell enjoys performing in theaters and wants to perform in more of them, he feels clubs are really his element - where he can go off script a bit and play with situations happening in the club. The late Mitch Hedberg, a fellow comic, also joined the pair for a few of the dates.In 2003, Attell created his first comedy album for the nascent Comedy Central Records entitled “Skanks for the Memories.” The CD was recorded at the Comedy Works in Denver.Attell later headlined an Insomniac tour for Comedy Central. Joining him on the thirty-five city tour as an opener was Sean Rouse. The tour culminated with a two hour concert at the Las Vegas House of Blues, where Attell and Rouse were joined by Greg Geraldo and Dane Cook.Attell’s comedy is not so much storytelling, as it is jokes. Attell is a relentless rewriter and often contact his friends in comedy to ensure that his material is original.When not on the road, Attell is a regular at the Comedy Cellar in New York City, sometimes performing several nights a week."
Dave Chappelle,August,24,1973,Dirty,142,73,3187,1179,"David “Dave” Chappelle (born August 24, 1973) is an American comedian, satirist and actor who rose to top stardom in 2003 with the debut of Comedy Central’s Chappelle’s Show. He received two Emmy nominations during the 2003-04 TV season and another nomination for the 2004-05 season.Dave Chappelle was born in Washington, D.C.. His father, William Chappelle was a professor of voice and music at Antioch College in Yellow Springs, Ohio. His mother, Yvonne Seon is a Unitarian Universalist minister. During young Dave’s formative years, his comic inspiration came from various comedy idols, particularly Richard Pryor, Eddie Murphy, and also the Warner Brothers cartoon character Bugs Bunny.At the age of 14, he gathered the courage to perform stand-up comedy at Harlem’s famed Apollo Theater. The performance resulted in him being booed off the stage, but in the Inside the Actors Studio interview, broadcast February 12, 2006, he described the experience as an enlightening moment that gave him the courage to continue his show business aspirations.After his parents separated, Chappelle stayed in Washington with his mother, while spending summers with his father in Yellow Springs. In June 1991, he graduated from Washington’s Duke Ellington School of the Arts, a renowned performing arts high school, where he majored in theatre arts.Within a year of his graduation, Dave Chappelle appeared, at the age of 19, in small, but showy roles in his first two films, 1993’s Robin Hood: Men in Tights (released on July 28) and Undercover Blues (released on September 10, although it was apparently filmed before Robin Hood). On the strength of his performances in these films, Chappelle was offered the role of Bubba in Forrest Gump, which was in a pre-production stage. Not realizing the impact this future Best Picture Oscar would have, and concerned about what seemed to be a racially-demeaning portrayal of the character, he took the advice of fellow comedian Bill Cosby in turning down the part, ultimately played by Mykelti Williamson. He has since admitted to deeply regretting the decision. Chappelle played another supporting movie role in 1994’s little-seen Getting In.He attracted the attention of TV network executives with his exuberant performance in the March 14, 1995 episode of ABC’s highly rated sitcom Home Improvement. The storyline had Chappelle and actor Jim Breuer play a duo of amateur filmmakers whose every move with their girlfriends (As directed by Tim) resulted in comic mayhem. The characters’ single outing in the episode proved so popular that ABC decided to star them in their own half-hour sitcom Buddies premiering on Tuesday, March 5, 1996. Jim Breuer however, was replaced with Christopher Gartin as Dave’s “buddy” after subsequent rehearsals. The unique comic timing and chemistry that Chappelle had with Breuer in the Home Improvement episode was not present with Gartin, and Breuer’s abrupt firing exacerbated ill will and prevented Chappelle and Gartin from developing the rapport and comedic chemistry necessary for the characters’ believability and likeability. The dilemma was reflected in the disappointing ratings. When a move to Wednesday night failed to improve its performance, Buddies was off the air on March 27 after a broadcast history of only four episodes out of thirteen that were produced. Nine years later, in May 2005, ten of the episodes were released on a single-disc DVD to capitalize on Chappelle’s new-found fame.He later appeared as the nightclub comedian in the remake of The Nutty Professor, had a minor role in Con Air, had a supporting role in Martin Lawrence’s Blue Streak, and co-wrote (with Neal Brennan), produced (uncredited) and starred in Half Baked, a cult film about a group of pot-smoking best friends trying to get their friend out of jail. Since he remained in contact with his Buddies co-star Jim Breuer, Chappelle decided to try recapturing the special comic harmony that they generated two years earlier by offering Breuer the co-starring role in Half Baked.Chappelle appeared as himself in an episode of The Larry Sanders Show, in which he and the executives of the show’s nameless television network satirized the treatment that scriptwriters and show creators were subject to, as well as the executives’ knee-jerk stereotyping when it came to race. In 1998, he played a supporting role as Tom Hanks’ best friend and confidant in You’ve Got Mail.In 2003, Chappelle debuted his own weekly television show on Comedy Central called Chappelle’s Show. The show parodies many aspects of American culture such as racial stereotypes and slurs, including his African-American heritage. This, combined with Chappelle’s pointed social and political commentary, quickly helped garner the show’s critical and commercial success. Chappelle’s Show also gained a large hip-hop following and featured progressive rappers such as Dead Prez, Talib Kweli, The Roots, Mos Def, and Kanye West. Along with comedy skits, the show also had musical performances, which spotlighted musical guests such as Wu-Tang Clan, Busta Rhymes, Outkast, Common, De La Soul, Fat Joe, Anthony Hamilton, DMX, Snoop Dogg, Erykah Badu, and John Mayer. Chappelle can even be heard on the track “The Mic” by the Roots as well as “Right About Now” by Talib Kweli. In addition, he intros in the song “Keynote Speaker” on Talib Kweli’s album Quality.By the end of the second season, it was one of the highest-rated shows on basic cable, with a greater audience share than South Park on Comedy Central.[citation needed] Additionally, the DVD set, Chappelle’s Show Season One Uncensored!, became the best-selling DVD of a television show to date, overtaking the previous best-selling, The Simpsons first season DVD. It had sold over 3 million copies [1]. Due to the show’s popularity, Comedy Central’s parent company Viacom reportedly offered Chappelle a $55 million contract (giving Chappelle a share of DVD sales) to continue production of Chappelle’s Show for two more years while allowing him to do side projects. Chappelle had stated that sketches are not his favorite form of comedy, and that the characteristics of the show’s format were somewhat like short films.Chappelle portraying the late Rick James in the infamous Rick James sketch.Chappelle portraying the late Rick James in the infamous Rick James sketch.The comedian stunned fans and the entertainment industry when he abruptly left during production of the third season of Chappelle’s Show. Chappelle has since stated that he was unhappy with the direction the show had taken, claiming pressure from network executives regarding the show’s content. Chappelle left the United States to visit South Africa. His decision triggered reports of mental or drug problems with the actor, which Chappelle later denied. On May 11, 2005, news sources reported that Chappelle had checked himself into a psychiatric facility in South Africa, which Chappelle has since repeatedly denied. On May 14, Time Magazine announced that one of their reporters had interviewed Chappelle in South Africa, and the comedian said no psychiatric treatments were occurring or necessary. Chappelle has stated that his reasons for visiting South Africa were to reflect on his life and career.On August 3, co-star Charlie Murphy gave an interview to TV Guide stating that he believed that Dave Chappelle was finished with Chappelle’s Show and would not be returning.Later in the year, Chappelle had returned home and was performing impromptu shows in Los Angeles, San Francisco and Newport, Kentucky. He was interviewed for Inside the Actors Studio on December 18, 2005 at Pace University’s Michael Schimmel Center for the Arts. The show premiered on February 12, 2006. Chappelle stated that the death of his father had an impact in his decision to go to South Africa to get away from the stress of stardom, stating that he had not received a chance to mourn his father’s death. He also said the rumors that he was in drug or psychiatric treatment only persuaded him to stay in South Africa.He was interviewed by Oprah Winfrey on her show on February 3, 2006 in his first televised interview since his departure from Chappelle’s Show. He stated in the interview that he “wasn’t crazy” but the environment was “incredibly stressful”. He continued:“I would go to work on the show and I felt awful every day, that’s not the way it was. ... I felt like some kind of prostitute or something. If I feel so bad, why keep on showing up to this place? I’m going to Africa. The hardest thing to do is to be true to yourself, especially when everybody is watching.”Chappelle also admitted to Oprah that he felt some of his sketches were socially irresponsible. He singled out the “pixie sketch” (in which it implied everyone has a pixie that appears to them and encourages them to act in a way stereotypical for their race) and said during the filming of the blackface pixie sketch, a white crew member was laughing. Chappelle said “it was the first time I felt that someone was not laughing with me but laughing at me.” He also said that during the sketch he was called nigger by one of the other non-important cast members.During these interviews, Chappelle did not rule out returning to Chappelle’s Show to “finish what we started”, but promised that he would not return without changes to the production, such as a better working environment. He also stated he would like to donate half of the DVD sales to charity, and to people that supported him. Chappelle expressed disdain at the possibility of his material from the unfinished third season being aired, saying that to do so would be “a bully move”, and that he would not return to the show if Comedy Central were to air the unfinished material. On July 9, 2006, Comedy Central aired the first episode of Chappelle’s Show: The Lost Episodes. An uncensored DVD release of the episodes was made available on July 25.Chappelle has stated that he has no intention of leaving Yellow Springs, Ohio, his current residence (see below). “Turns out you don’t need $50 million to live around these parts, just a nice smile and a kind way about you. You guys are the best neighbors ever”, he stated at a blues and jazz festival in the town in mid-September 2006, “That’s why I came back and that’s why I’m staying.”Chappelle was the subject of the Michel Gondry-directed documentary Dave Chappelle’s Block Party which chronicles a Chappelle-hosted event in the Bedford-Stuyvesant neighborhood of Brooklyn on 18 September 2004. The highlight of the event was the reunion of popular ‘90s rap group The Fugees. Chappelle toured several cities in February and March 2006 to promote the film under the moniker “Block Party All-Stars featuring Dave Chappelle”. Universal Pictures’ genre division Rogue Pictures released the film in the United States on March 3, 2006.Chappelle has made an appearance on Def Poetry. He performed two poems, titled Fuck Ashton Kutcher and How I Got the Lead on “Jeopardy!.”In 1998, Chappelle converted to Islam. He told Time Magazine in a May 2005 interview, “I don’t normally talk about my religion publicly because I don’t want people to associate me and my flaws with this beautiful thing. And I believe it is beautiful if you learn it the right way.”[5]Chappelle has commented on being a computer and video game enthusiast, some of his favorites being NBA Street, Street Fighter and Grand Theft Auto. He also is a World of Warcraft enthusiast.[6] On Chappelle’s Show, he has paid homage a few different times to various video games. One was to Grand Theft Auto: Vice City, in which he plays the main character that steals a car to go to work. Another was to the game Street Hoops, in which he challenges and beats a child with cancer. In a 2Pac rap sketch, a lyric mentions “run up in yo’ spot like CJ from San Andreas”.He lives with his wife Elaine (who is of Filipino descent[7]) and two sons (one is named Sulayman[8]) on a 65-acre (26-hectare) farm just outside Yellow Springs, Ohio. When he is not touring or engaged in filming for television or the big screen, Chappelle can be seen in the shops and markets of the small college town known as a countercultural center.Chappelle likes to skateboard as a hobby and says he tries to find skateparks in the cities he performs in. He made an appearance skateboarding in the Signature Video Magazine Volume 1. The video features a short clip of Dave skating at Project 58 in Raleigh, North Carolina. He made another appearance skating on the first episode of Chappelle’s Show during the credits as Clayton Bigsby, black white supremacist."
